,name,velocity_kmph,diameter,distance,date,hazard,risk,cluster,Anomaly
2,(2011 DT9),23586.245665216,0.03922316335,27889391.239528567,2025-08-26,0,0.0000331712929333783,1,1
3,(2015 YC1),25991.956080936,0.0271357992,53736648.06051545,2025-08-26,0,0.000013125353487497242,3,1
5,(2022 CT4),31424.2012710062,0.07508317285,69812435.58958949,2025-08-26,0,0.00003379668272246885,3,-1
8,(2025 QL1),25488.6418191435,0.05607155715,10217070.348728964,2025-08-26,0,0.0001398823525391288,1,1
9,(2025 QB3),25329.1293889483,0.02519663915,7311112.829767983,2025-08-26,0,0.00008729299465854962,1,1
10,(2025 QK3),45797.7036836153,0.04482730365,4493466.239580929,2025-08-26,0,0.0004568828294322765,2,1
11,(2025 QW3),22431.8019111006,0.0388814647,14048914.038044661,2025-08-26,0,0.00006208176032695274,1,1
12,(2025 QB5),17168.4644528429,0.031012917,4484351.58543693,2025-08-26,0,0.0001187338131163926,1,1
